Country/Territory,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,country_code
Afghanistan,10752971.0,11337121.0,11921271.0,12505421.0,13089571.0,13673721.0,14257871.0,14842021.0,15426171.0,16010321.0,16594471.0,17178621.0,17762771.0,18346921.0,18931071.0,19515221.0,20099371.0,20683521.0,21267671.0,21851821.0,22435971.0,23020121.0,23604271.0,24188421.0,24772571.0,25356721.0,25940871.0,26525021.0,27109171.0,27693321.0,28277471.0,28861621.0,29445771.0,30029921.0,30614071.0,31198221.0,31782371.0,32366521.0,32950671.0,33534821.0,34118971.0,34703121.0,35287271.0,35871421.0,36455571.0,37039721.0,37623871.0,38208021.0,38792171.0,39376321.0,39960471.0,40544621.0,41128771.0,AF
Albania,2324731.0,2334684.653846154,2344638.3076923075,2354591.961538461,2364545.6153846155,2374499.269230769,2384452.923076923,2394406.576923077,2404360.230769231,2414313.8846153845,2424267.5384615385,2434221.1923076925,2444174.846153846,2454128.5,2464082.153846154,2474035.8076923075,2483989.461538461,2493943.1153846155,2503896.769230769,2513850.423076923,2523804.076923077,2533757.730769231,2543711.3846153845,2553665.0384615385,2563618.6923076925,2573572.346153846,2583526.0,2593479.653846154,2603433.3076923075,2613386.961538461,2623340.6153846155,2633294.269230769,2643247.923076923,2653201.576923077,2663155.230769231,2673108.8846153845,2683062.5384615385,2693016.1923076925,2702969.846153846,2712923.5,2722877.153846154,2732830.8076923075,2742784.461538461,2752738.1153846155,2762691.769230769,2772645.423076923,2782599.076923077,2792552.730769231,2802506.3846153845,2812460.0384615385,2822413.6923076925,2832367.346153846,2842321.0,AL
Algeria,13795915.0,14394132.5,14992350.0,15590567.5,16188785.0,16787002.5,17385220.0,17983437.5,18581655.0,19179872.5,19778090.0,20376307.5,20974525.0,21572742.5,22170960.0,22769177.5,23367395.0,23965612.5,24563830.0,25162047.5,25760265.0,26358482.5,26956700.0,27554917.5,28153135.0,28751352.5,29349570.0,29947787.5,30546005.0,31144222.5,31742440.0,32340657.5,32938875.0,33537092.5,34135310.0,34733527.5,35331745.0,35929962.5,36528180.0,37126397.5,37724615.0,38322832.5,38921050.0,39519267.5,40117485.0,40715702.5,41313920.0,41912137.5,42510355.0,43108572.5,43706790.0,44305007.5,44903225.0,DZ
American Samoa,27075.0,27405.73076923077,27736.46153846154,28067.19230769231,28397.92307692308,28728.653846153848,29059.384615384617,29390.115384615383,29720.846153846152,30051.57692307692,30382.30769230769,30713.03846153846,31043.76923076923,31374.5,31705.23076923077,32035.96153846154,32366.69230769231,32697.42307692308,33028.153846153844,33358.88461538462,33689.61538461538,34020.34615384616,34351.07692307692,34681.807692307695,35012.53846153846,35343.269230769234,35674.0,36004.730769230766,36335.46153846154,36666.19230769231,36996.92307692308,37327.65384615384,37658.38461538462,37989.11538461538,38319.84615384616,38650.57692307692,38981.30769230769,39312.03846153846,39642.769230769234,39973.5,40304.230769230766,40634.96153846154,40965.69230769231,41296.42307692308,41627.15384615384,41957.88461538462,42288.61538461538,42619.34615384616,42950.07692307692,43280.80769230769,43611.53846153846,43942.269230769234,44273.0,AS
Andorra,19860.0,21013.153846153848,22166.30769230769,23319.46153846154,24472.615384615383,25625.76923076923,26778.92307692308,27932.07692307692,29085.23076923077,30238.384615384617,31391.53846153846,32544.69230769231,33697.84615384616,34851.0,36004.153846153844,37157.30769230769,38310.46153846154,39463.61538461539,40616.769230769234,41769.92307692308,42923.07692307692,44076.230769230766,45229.38461538462,46382.53846153846,47535.69230769231,48688.84615384616,49842.0,50995.15384615384,52148.307692307695,53301.46153846154,54454.61538461538,55607.769230769234,56760.92307692308,57914.07692307692,59067.23076923077,60220.38461538462,61373.53846153846,62526.69230769231,63679.84615384616,64833.0,65986.15384615384,67139.30769230769,68292.46153846153,69445.61538461538,70598.76923076923,71751.92307692308,72905.07692307692,74058.23076923078,75211.38461538462,76364.53846153847,77517.69230769231,78670.84615384616,79824.0,AD
Angola,6029700.0,6598147.826923077,7166595.653846154,7735043.48076923,8303491.307692308,8871939.134615384,9440386.96153846,10008834.788461538,10577282.615384616,11145730.442307692,11714178.269230768,12282626.096153846,12851073.923076922,13419521.75,13987969.576923076,14556417.403846154,15124865.23076923,15693313.057692306,16261760.884615384,16830208.71153846,17398656.538461536,17967104.365384616,18535552.19230769,19104000.019230768,19672447.846153844,20240895.67307692,20809343.5,21377791.32692308,21946239.153846152,22514686.980769232,23083134.807692308,23651582.634615384,24220030.46153846,24788478.288461536,25356926.11538461,25925373.94230769,26493821.769230768,27062269.596153844,27630717.42307692,28199165.25,28767613.07692308,29336060.903846152,29904508.73076923,30472956.557692304,31041404.384615384,31609852.21153846,32178300.038461536,32746747.86538461,33315195.69230769,33883643.51923077,34452091.34615384,35020539.17307692,35588987.0,AO
Anguilla,6283.0,6467.115384615385,6651.2307692307695,6835.346153846154,7019.461538461538,7203.576923076923,7387.692307692308,7571.807692307692,7755.923076923077,7940.038461538461,8124.153846153846,8308.26923076923,8492.384615384615,8676.5,8860.615384615385,9044.73076923077,9228.846153846154,9412.96153846154,9597.076923076922,9781.192307692309,9965.307692307691,10149.423076923076,10333.53846153846,10517.653846153846,10701.76923076923,10885.884615384615,11070.0,11254.115384615385,11438.23076923077,11622.346153846152,11806.46153846154,11990.576923076922,12174.692307692309,12358.807692307691,12542.923076923078,12727.03846153846,12911.153846153846,13095.26923076923,13279.384615384615,13463.5,13647.615384615385,13831.73076923077,14015.846153846152,14199.96153846154,14384.076923076922,14568.192307692309,14752.307692307691,14936.423076923076,15120.53846153846,15304.653846153846,15488.76923076923,15672.884615384615,15857.0,AI
Antigua and Barbuda,64516.0,65078.44230769231,65640.88461538461,66203.32692307692,66765.76923076923,67328.21153846153,67890.65384615384,68453.09615384616,69015.53846153847,69577.98076923077,70140.42307692308,70702.86538461539,71265.30769230769,71827.75,72390.19230769231,72952.63461538461,73515.07692307692,74077.51923076923,74639.96153846153,75202.40384615384,75764.84615384616,76327.28846153847,76889.73076923077,77452.17307692308,78014.61538461539,78577.05769230769,79139.5,79701.94230769231,80264.38461538462,80826.82692307692,81389.26923076923,81951.71153846153,82514.15384615384,83076.59615384616,83639.03846153847,84201.48076923077,84763.92307692308,85326.36538461539,85888.80769230769,86451.25,87013.69230769231,87576.13461538462,88138.57692307692,88701.01923076923,89263.46153846153,89825.90384615384,90388.34615384616,90950.78846153848,91513.23076923078,92075.67307692308,92638.1153846154,93200.55769230767,93763.0,AG
Argentina,23842803.0,24259485.980769232,24676168.96153846,25092851.94230769,25509534.923076924,25926217.903846152,26342900.884615384,26759583.865384616,27176266.846153848,27592949.82692308,28009632.807692308,28426315.788461536,28842998.769230768,29259681.75,29676364.730769232,30093047.71153846,30509730.69230769,30926413.673076924,31343096.653846152,31759779.634615384,32176462.615384616,32593145.596153848,33009828.57692308,33426511.557692308,33843194.538461536,34259877.51923077,34676560.5,35093243.48076923,35509926.461538464,35926609.442307696,36343292.42307692,36759975.40384615,37176658.38461538,37593341.365384616,38010024.34615385,38426707.32692307,38843390.307692304,39260073.288461536,39676756.26923077,40093439.25,40510122.23076923,40926805.211538464,41343488.192307696,41760171.17307693,42176854.15384615,42593537.13461538,43010220.115384616,43426903.09615384,43843586.07692307,44260269.057692304,44676952.038461536,45093635.01923077,45510318.0,AR
Armenia,2534377.0,2539109.5384615385,2543842.076923077,2548574.6153846155,2553307.153846154,2558039.6923076925,2562772.230769231,2567504.769230769,2572237.3076923075,2576969.846153846,2581702.3846153845,2586434.923076923,2591167.461538461,2595900.0,2600632.5384615385,2605365.076923077,2610097.6153846155,2614830.153846154,2619562.6923076925,2624295.230769231,2629027.769230769,2633760.3076923075,2638492.846153846,2643225.3846153845,2647957.923076923,2652690.461538461,2657423.0,2662155.5384615385,2666888.076923077,2671620.6153846155,2676353.153846154,2681085.6923076925,2685818.230769231,2690550.769230769,2695283.3076923075,2700015.846153846,2704748.3846153845,2709480.923076923,2714213.461538461,2718946.0,2723678.5384615385,2728411.076923077,2733143.6153846155,2737876.153846154,2742608.6923076925,2747341.230769231,2752073.769230769,2756806.3076923075,2761538.846153846,2766271.3846153845,2771003.923076923,2775736.461538461,2780469.0,AM
